UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Vibration Sensor [g],Acoustic Emission [dB],Current Draw [A],RUL,failure_mode,time_to_failure
33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,0.4986502775262066,62.52182532859205,7.3760769092677565,162,No Failure,162
34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,0.3942289071044099,57.2935045251888,10.932939381872613,160,No Failure,160
35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,0.5822544912103189,50.115892155262046,11.456476214611731,158,No Failure,158
36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,0.3779156350028977,57.523924509976325,9.71569765279636,155,No Failure,155
37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,0.5208863595004756,58.478275644730246,11.786135653973544,152,No Failure,152
38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,0.3040329876120224,58.43535516404993,10.2953036810749,149,No Failure,149
39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,0.3671813951101569,63.09278178488962,12.434259842312224,147,No Failure,147
40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,0.5196861235869124,69.9283820550742,6.955589390148292,142,No Failure,142
41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,0.573846657999541,60.617646009205465,9.30244947798626,140,No Failure,140
42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,0.5171368281189971,58.91634105421769,9.85637371429793,138,No Failure,138
43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,0.4884351717611759,58.70389093497954,4.655585231057302,136,No Failure,136
44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,0.4698896304410711,60.62192383453857,7.828094532842931,133,No Failure,133
45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,0.3521478009632572,55.85853119825801,8.372801491282427,128,No Failure,128
46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,0.4280155791605291,60.60099279373028,11.8964119896467,125,No Failure,125
47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,0.4539361229040212,62.254061681659,8.5863133073708,123,No Failure,123
48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,0.6057122226218916,61.04843031787244,8.363842025388045,120,No Failure,120
49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,0.5343618289568461,62.28770967002391,11.634971561312383,118,No Failure,118
50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,0.3236959844637266,62.16873804674268,6.764178708419891,113,No Failure,113
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,0.5324083969394795,51.14051658876778,5.857511865112856,110,Power Failure,110
52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,0.4614917719583683,63.18435079197702,9.276815399861308,108,No Failure,108
53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,0.4323077999694041,56.64492577168773,7.104586463843289,106,No Failure,106
54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,0.5611676288840868,54.52080418498021,7.1806414106807015,101,No Failure,101
55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,0.6030999522495951,54.47774086072502,11.146867583375965,99,No Failure,99
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,0.5931280119116199,62.16770805236265,11.75194767582516,97,No Failure,97
57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,0.4160782476777361,58.88712536387573,11.57772843170425,95,No Failure,95
58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,0.4690787624148785,51.590156080072944,12.217553320614464,93,No Failure,93
59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,0.5331263431403563,62.390189075961416,12.482268640029604,91,No Failure,91
60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,0.5975545127122359,52.801959346005866,5.742819582346138,88,No Failure,88
61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,0.452082576215471,60.69910679259105,10.900823919858931,86,No Failure,86
62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,0.4814341023336183,61.19249462836527,8.940783600860883,84,No Failure,84
63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,0.3893665025993972,64.42788540847522,8.505151508019129,81,No Failure,81
64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,0.3803793375919329,68.90842393233426,11.120829264417411,79,No Failure,79
65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,0.5812525822394198,53.176618370497295,6.539409040208497,76,No Failure,76
66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,0.6356240028570823,59.73763071968475,6.4977827882553605,74,No Failure,74
67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,0.4927989878419666,58.61832352477892,11.267145488163434,72,No Failure,72
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,0.6003532897892024,62.16874842980481,10.975572035021797,69,No Failure,69
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,0.5361636025047634,61.07834385466809,10.27346531174302,64,No Failure,64
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,0.4354880245394875,58.2372687863169,8.240173190553726,62,Power Failure,62
71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,0.5361395605508414,57.795489056945726,11.487659269164247,60,No Failure,60
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,0.6538036566465969,54.417745724079765,11.360605784120953,57,No Failure,57
73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,0.4964173960890048,64.93930791203255,10.170609030094909,55,No Failure,55
74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,0.6564643655814006,62.29602090799765,7.645357917460457,53,No Failure,53
75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,0.2380254895910255,64.58884098897569,9.149503308540986,51,No Failure,51
76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,0.5821902504375224,58.44801931762243,11.675667355048883,49,No Failure,49
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,0.5087047068238171,56.71582265652785,12.654382445603574,47,No Failure,47
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,0.4700992649534132,54.60842466685386,9.346926793247343,45,Tool Wear Failure,45
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,0.5091760776535502,61.7945879187033,9.500654064383475,253,No Failure,253
80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,0.3012431085399107,54.801033877358826,9.676621783949878,251,No Failure,251
81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,0.4780328112162488,69.24331534483275,10.549786017821944,249,No Failure,249
82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,0.5357112571511746,53.4617870945328,8.837865399879952,244,No Failure,244
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,0.6477894044741517,61.36830059606251,4.2116298848568325,242,No Failure,242
84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,0.4481729781726352,67.83427353606893,12.385538003294194,240,No Failure,240
85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,0.4191506397106812,62.995448796319046,13.589377894325098,238,No Failure,238
86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,0.4498242956415463,60.878368562458895,8.775200280788575,236,No Failure,236
87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,0.5915402117702074,55.15758176519052,7.8666932621624515,233,No Failure,233
88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,0.5328751109659684,53.09115405716148,9.725798955219556,228,No Failure,228
89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,0.4470239796232961,63.85025054458793,9.624992232542454,226,No Failure,226
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,0.5513267433113356,67.53073620387474,11.99103715432592,223,No Failure,223
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,0.509707754934804,57.805750047609145,10.109278883290076,220,No Failure,220
92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,0.596864499053289,54.30469246191824,8.414754339257634,218,No Failure,218
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,0.4297946906122648,47.709152847254906,7.363181098883902,216,No Failure,216
94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,0.4672337853402232,55.09617578168732,11.731268369639348,213,No Failure,213
95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,0.4607891846867842,59.4317157875048,11.199022482328498,211,No Failure,211
96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,0.3536485051867881,67.99561620418368,12.12111975618364,209,No Failure,209
97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,0.5296120277064577,63.36566846116485,8.063626498557813,206,No Failure,206
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,0.526105527217989,61.525427023533766,13.676873799056658,203,No Failure,203
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,0.500511345664246,57.99940169349435,6.512610985885527,200,No Failure,200
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,0.4765412866624853,57.08417141372022,11.41920204280296,198,No Failure,198
101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,0.3584629257949585,67.02823798753982,6.180834465606196,196,No Failure,196
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,0.4579354677234641,61.00369270379195,8.419337236603065,194,No Failure,194
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,0.465728548347323,49.48699654039489,13.122045860895918,192,No Failure,192
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,0.4197722730778381,56.63230176051378,11.66272850895198,190,No Failure,190
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,0.483871428833399,55.70891984114186,8.907559169025635,187,No Failure,187
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,0.5404050856814538,57.26867995411268,8.962325914356624,185,No Failure,185
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,0.6886185901210531,62.81455330142543,10.201244221670883,183,No Failure,183
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,0.5174577812831839,59.46277559102875,11.028281981521443,181,No Failure,181
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,0.5257550390722764,59.61567296498169,12.503158765365392,178,No Failure,178
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,0.4925554084233833,66.56736580662619,9.087531990783011,173,No Failure,173
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,0.3081228784700958,56.51769455106656,6.776429873025597,171,No Failure,171
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,0.4973486124550783,69.32099762943675,10.31393725409752,169,No Failure,169
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,0.5060230209941027,56.64346204314457,9.08513832498321,164,No Failure,164
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,0.7463242112485287,60.445990983062856,7.398732590503105,161,No Failure,161
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,0.4807639035218877,58.59398202298617,10.595337830625589,158,No Failure,158
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,0.5301547342333612,60.617095667504806,9.573772491814422,156,No Failure,156
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,0.4965288230294756,62.22295997536565,10.61302441293959,154,No Failure,154
118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,0.3831321962380468,62.16917620044438,8.211111599625639,152,No Failure,152
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,0.6142822814515021,56.2344133468971,10.973421060650995,150,No Failure,150
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,0.5751933032686775,54.38542661276215,7.365803606490044,147,No Failure,147
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,0.5791031947043047,72.51585895452855,8.344537220606833,145,No Failure,145
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,0.4090612545205261,57.58007830199723,9.514171537825444,143,No Failure,143
123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,0.64027943109361,63.49606219335993,13.483636829919428,141,No Failure,141
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,0.3598148937207719,51.96179344738402,11.569650737096987,139,No Failure,139
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,0.558685709380027,58.60193640047662,12.15438500853558,137,No Failure,137
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,0.7190455625809978,59.36400308008778,12.834154066686288,135,No Failure,135
127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,0.4009463674869311,62.364075349639165,17.205664271621746,133,No Failure,133
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,0.4433702270397228,46.3877292950403,10.083178135116867,131,No Failure,131
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,0.5099651365087641,60.83070306539165,12.840801846259712,129,No Failure,129
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,0.44965243458838,54.25129272316053,12.025270508803882,127,No Failure,127
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,0.3449336568933867,61.62172855597462,11.992065006615052,125,No Failure,125
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,0.5068562974806027,54.818354015809184,13.548479236080365,123,No Failure,123
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,0.3937696286273895,55.72258652037209,9.161373938031048,121,No Failure,121
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,0.5473592430635181,58.63186194803366,9.002629952127242,118,No Failure,118
135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,0.4080575765766197,54.73835265198402,10.639531026963724,115,No Failure,115
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,0.6549934405017539,57.62232776632322,9.634600456156226,113,No Failure,113
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,0.4216746707663762,54.03312115728343,10.637001705996346,110,No Failure,110
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,0.4677938483794324,50.83414774150637,13.125497570106024,105,No Failure,105
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,0.581351721736967,65.08978526214679,9.043706554587445,103,No Failure,103
140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,0.3769135683566045,53.51975653588036,9.39064207481254,98,No Failure,98
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,0.522745993460413,59.10659556196008,10.348622007053152,96,No Failure,96
142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,0.6307142754282429,63.76445540746892,9.54336314794966,94,No Failure,94
143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,0.3392516765438772,56.925279487419786,6.171988343973025,92,No Failure,92
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,0.5184633858532304,55.87417050127231,8.839744714602121,89,No Failure,89
145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,0.5259882794248424,61.131190443337104,11.37474648447501,84,No Failure,84
146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,0.578182287177731,65.58966911363576,12.875093501865294,81,No Failure,81
147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,0.3763049289121918,54.153423674567655,7.690762864924546,79,No Failure,79
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,0.3679543386915723,59.24926083991281,7.681435201538314,74,No Failure,74
149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,0.5521941565616898,51.33752702516336,10.06046760543467,72,No Failure,72
150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,0.5296984673233186,58.033994981589046,5.848809870244327,69,No Failure,69
151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,0.5250492850345877,60.171023422690375,9.110059594025746,67,No Failure,67
152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,0.5346448209496976,55.72687679122467,6.527915880897213,65,No Failure,65
153,M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,0.4319975278421509,57.715040830873846,12.73812259968493,62,No Failure,62
154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,0.5232253697161003,52.95886615846275,8.46133769129919,59,No Failure,59
155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,0.5293072473298681,60.38539305690747,13.305668372678054,57,No Failure,57
156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,0.4285648581973632,65.27847124441575,12.227042706916675,55,No Failure,55
157,M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,0.6865774511144757,54.51428065114768,8.707365404605167,50,No Failure,50
158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,0.5473832920911788,56.88664116723808,7.856080726307844,47,No Failure,47
159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,0.3808696502797351,62.51273123227091,9.612908501664824,42,No Failure,42
160,L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,0.565655360863383,66.06045359661368,9.790706751483594,39,No Failure,39
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,0.4025318329772678,52.53405093895535,10.692293887904803,37,Overstrain Failure,37
162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,0.5787084603742452,59.156076312920256,8.446913420939643,35,Overstrain Failure,35
163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,0.6158595579007404,61.415654111597625,11.492789747044403,253,No Failure,253
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,0.4179317681648289,59.48971804685576,10.5306561099998,251,No Failure,251
165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,0.5963376129244322,47.616039665614565,9.319209686568271,248,No Failure,248
166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,0.5412780926936498,62.50545004654386,8.575918689163954,245,No Failure,245
167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,0.582206015999449,67.59668175545322,9.630230033802627,243,No Failure,243
168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,0.6896792982653948,60.58330875584752,8.366197496344862,238,No Failure,238
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,0.4754611883997129,54.84446973352868,10.116877389767176,233,Power Failure,233
170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,0.424626383564251,57.434363768178585,10.17087737043982,231,No Failure,231
171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,0.4110485570374477,68.84956533827797,10.52341456695268,229,No Failure,229
172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,0.4184189715034562,64.5498127043028,13.532484819343708,226,No Failure,226
173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,0.4922898290585896,63.20013309192164,9.735110560600855,224,No Failure,224
174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,0.5341151974816644,61.78206291767188,12.009195734248966,221,No Failure,221
175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,0.5276690799330019,56.69431443904514,10.459174793951403,218,No Failure,218
176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,0.5827183249036024,58.99714409672116,9.523511396203093,216,No Failure,216
177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,0.5013001891877907,59.61038632160742,9.761681460097533,214,No Failure,214
178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,0.6453534077157317,62.74787158032222,9.8823471816639,212,No Failure,212
179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,0.4735343166762044,67.54459447133452,10.559535415456432,210,No Failure,210
180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,0.7720169166589619,65.59169068396564,8.08135846956206,208,No Failure,208
181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,0.5625667347765007,52.9030782210198,7.0693192331100665,206,No Failure,206
182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,0.4142842443583717,61.11997484450524,11.30859478694855,204,No Failure,204
183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,0.3929107501938887,63.683816725839485,11.796247665162518,199,No Failure,199
184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,0.5482472415243185,63.094301650723175,11.491271665605606,196,No Failure,196
185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,0.4776537214674149,56.8538311830629,10.309944037112944,194,No Failure,194
186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,0.5714000494092092,74.5705460788418,11.534449254906578,192,No Failure,192
187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,0.5473237624573545,53.614577188344406,11.426858052034284,190,No Failure,190
188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,0.4927171087343127,54.58405776666975,11.57525871790991,188,No Failure,188
189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,0.4153206281931595,61.16797540630788,8.280918357315773,186,No Failure,186
190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,0.3485152775314135,70.58401527481927,7.806096405690738,184,No Failure,184
191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,0.4553485047932979,55.81902574647915,9.22286150649546,181,No Failure,181
192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,0.5856398794323472,58.67085817176504,9.965231780914689,179,No Failure,179
193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,0.5214093744130204,65.38646836507846,9.516157745735422,177,No Failure,177
194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,0.3754261221288012,59.910689225561335,6.246619337324249,172,No Failure,172
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,0.5173180925851182,58.32698072734852,13.443385224270283,167,Power Failure,167
196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,0.5385317379728837,62.8281645094336,9.45190802222853,164,No Failure,164
197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,0.4116142563798867,61.36258995114797,10.345408833153908,162,No Failure,162
198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,0.5153725105945528,65.15219392818396,12.489097981526118,157,No Failure,157
199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,0.5058208718446,66.45734444532681,5.31005546095759,154,No Failure,154
200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,0.3857029702169376,61.53501530002681,8.976612256176576,152,No Failure,152
201,L47380,L,298.4,308.6,1609,35.0,103,0,No Failure,0.5357787360348283,61.45866362689154,9.225765452840392,150,No Failure,150
202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,0.5560784526368234,61.07055491143067,9.327379909098712,148,No Failure,148
203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,0.6083051243175277,62.44565278324644,9.653026818572094,146,No Failure,146
204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,0.6053802052034903,60.27585318935732,12.89426959688969,143,No Failure,143
205,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,0.3622330632042909,59.99695758838856,11.346917751454445,141,No Failure,141
206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,0.4062174960084877,65.98313560413621,11.916070537257658,139,No Failure,139
207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,0.551503526720866,67.58058090177522,10.094240543621847,136,No Failure,136
208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,0.5513785950912209,52.4622352768329,7.201253907708997,134,Power Failure,134
